time,velocity,altitude,velocity_y,velocity_x,acceleration,downrange_distance,angle,q,propellant,mass flow rate,thrust,mass
228,1604.889,193.677,1410.452,767.077,9.709,85.089,61.396,0,89093.65181,288.6432136,966954.7654,98593.65181
229,1606.388,194.991,1409.252,772.876,9.745,85.859,61.254,0,88804.77865,288.8731546,967725.068,98304.77865
230,1608.112,196.413,1406.859,778.329,9.782,86.634,61.11,0,88515.65295,289.1257066,968571.1171,98015.65295
231,1609.793,197.779,1404.951,783.452,9.813,87.415,60.909,0,88226.4581,289.1948458,968802.7333,97726.4581
232,1611.597,199.258,1403.528,788.319,9.834,88.201,60.726,0,87937.49264,288.9654635,968034.3026,97437.49264
233,1613.39,200.646,1404.091,793.028,9.847,88.992,60.559,0,87648.99319,288.4994436,966473.136,97148.99319
234,1615.167,202.101,1404.736,797.521,9.86,89.787,60.474,0,87360.96063,288.0325588,964909.0719,96860.96063
235,1617.001,203.455,1405.645,801.782,9.882,90.586,60.373,0,87073.13445,287.8261835,964217.7146,96573.13445
236,1618.888,204.831,1405.278,805.814,9.915,91.39,60.278,0,86785.1993,287.9351496,964582.7511,96285.1993
237,1620.833,206.262,1404.699,809.796,9.953,92.198,60.119,0,86497.01682,288.1824801,965411.3084,95997.01682
